,發生時間,死亡受傷人數,車種,經度,緯度
227,108年01月01日 08時54分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.46652399999999,22.655888
228,108年01月01日 08時55分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.57336699999999,24.269454
229,108年01月01日 08時56分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.011827,24.878372
230,108年01月01日 08時57分00秒,死亡0;受傷1,普通重型-機車,121.344879,25.007456
231,108年01月01日 09時00分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.20351299999999,22.976359
232,108年01月01日 09時00分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.47818000000001,25.068948000000002
233,108年01月01日 09時00分00秒,死亡0;受傷1,普通重型-機車;計程車-小客車,121.407255,25.150676999999998
234,108年01月01日 09時04分05秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.822677,24.856141
235,108年01月01日 09時06分00秒,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,121.179796,22.783173
236,108年01月01日 09時06分30秒,死亡0;受傷2,普通重型-機車;電動自行車-慢車,120.58542299999999,23.69013
237,108年01月01日 09時08分00秒,死亡0;受傷2,自用-小客車;乘客-人,120.57184,24.233744
238,108年01月01日 09時10分00秒,死亡0;受傷4,普通重型-機車;普通重型-機車;普通重型-機車;乘客-人,121.15683100000001,24.047857999999998
239,108年01月01日 09時15分00秒,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,120.4909,22.88177
240,108年01月01日 09時17分00秒,死亡0;受傷1,普通重型-機車,120.702584,22.138552
241,108年01月01日 09時17分10秒,死亡0;受傷1,普通重型-機車;自用-小客車;營業用-曳引車,121.10562,24.98445
242,108年01月01日 09時19分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.441,23.46804
243,108年01月01日 09時20分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,121.542818,24.996931
244,108年01月01日 09時20分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.192081,22.966867999999998
245,108年01月01日 09時20分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.45401000000001,25.233296
